id_erm;mre_guid;departamento;municipio;tipologia;cod_dane_muni;cod_dane_depto;organización;motivo_de_actividad;fecha_de_inicio;año_inicio;mes;fecha_de_finalizacion;nombre_del_sitio;location_guid;tipo_de_actividad;otromodeloerm;indigenashombresedad0a5;indigenashombresedad6a11;indigenashombresedad12a17;indigenashombresedad18a23;indigenashombresedad24omas;indigenashombresedadtotalh;indigenasmujeresedad0a5;indigenasmujeresedad6a11;indigenasmujeresedad12a17;indigenasmujeresedad18a23;indigenasmujeresedad24omas;indigenasmujeresedadtotalm;afroshombresedad0a5;afroshombresedad6a11;afroshombresedad12a17;afroshombresedad18a23;afroshombresedad24omas;afroshombresedadtotalh;afrosmujeresedad0a5;afrosmujeresedad6a11;afrosmujeresedad12a17;afrosmujeresedad18a23;afrosmujeresedad24omas;afrosmujeresedadtotalm;mestizoshombresedad0a5;mestizoshombresedad6a11;mestizoshombresedad12a17;mestizoshombresedad18a23;mestizoshombresedad24omas;mestizoshombresedadtotalh;mestizosmujeresedad0a5;mestizosmujeresedad6a11;mestizosmujeresedad12a17;mestizosmujeresedad18a23;mestizosmujeresedad24omas;mestizosmujeresedadtotalm;comunidadintervenida;motivoactividad;tipodeevidencias;deptomunicipio;tipolugar;otroevidencias;npersonastotal
ERM_ACT_1381;ac10-0256-1604cb08dc3-d886e58b-1e93-9;CHOCO;ACANDÍ;Tipo I;27006;27;FENIX GROUP;NINGUNO;1/08/2015;2015;8;;;ac10-0141-144e5b6377e-255aa96a-206e-b;Erm Comunitaria;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Otro. Cuál?;;CHOCO-ACANDÍ;SIN INFORMACION;;10
ERM_ACT_1255;ac10-0256-1604cb0990e-efad77d6-1e9a-2;META;CUBARRAL;Tipo I;50223;50;SENA;NINGUNO;1/02/2015;2015;2;;;0a0a-502c-11aa104447c-d6b3ee51-4c8-a6;Erm Comunitaria;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Otro. Cuál?;;META-CUBARRAL;SIN INFORMACION;;165
ERM_ACT_1256;ac10-0256-1604cb0a320-dd1a1aca-1ea1-f;META;EL CASTILLO;Tipo I;50251;50;SENA;NINGUNO;1/02/2015;2015;2;;;0a0a-502c-11aa107613a-a60481a1-1f9c-f;Erm Comunitaria;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Otro. Cuál?;;META-EL CASTILLO;SIN INFORMACION;;196
ERM_ACT_1257;ac10-0256-1604cb0ae7a-2cebe258-1ea8-e;META;MAPIRIPÁN;Tipo I;50325;50;SENA;NINGUNO;1/03/2015;2015;3;;;0a0a-502c-11aa105c5cb-25ebb216-11b0-2;Erm Comunitaria;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Otro. Cuál?;;META-MAPIRIPÁN;SIN INFORMACION;;71
ERM_ACT_1258;ac10-0256-1604cb0baaf-3fc15904-1eaf-3;META;MESETAS;Tipo I;50330;50;SENA;NINGUNO;1/03/2015;2015;3;;;0a0a-502c-11aa109476d-51644c87-309c-2;Erm Comunitaria;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Otro. Cuál?;;META-MESETAS;SIN INFORMACION;;222
ERM_ACT_1259;ac10-0256-1604cb0c4c1-f743f5a-1eb6-41;NARIÑO;LA LLANADA;Tipo I;52385;52;SENA;NINGUNO;1/04/2015;2015;4;;;0a0a-502c-11aa104b585-5801a7d3-87c-64;Erm Comunitaria;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Otro. Cuál?;;NARIÑO-LA LLANADA;SIN INFORMACION;;196
ERM_ACT_1260;ac10-0256-1604cb14b57-f1610336-1ebe-6;NARIÑO;LOS ANDES;Tipo I;52418;52;SENA;NINGUNO;1/03/2015;2015;3;;;0a0a-502c-11aa104b91f-d357c7d6-89c-b1;Erm Comunitaria;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Otro. Cuál?;;NARIÑO-LOS ANDES;SIN INFORMACION;;197
ERM_ACT_1230;ac10-0256-1604cb3de49-5cad934e-1ef3-5;CALDAS;ANSERMA;Tipo II;17042;17;SENA;NINGUNO;1/10/2015;2015;10;;;0a0a-502c-11aa1046002-f08050a2-5a8-3d;Erm Comunitaria;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Otro. Cuál?;;CALDAS-ANSERMA;SIN INFORMACION;;51
ERM_ACT_1231;ac10-0256-1604cb3ea01-61a029b2-1efa-b;CALDAS;NORCASIA;Tipo II;17495;17;SENA;NINGUNO;1/11/2015;2015;11;;;0a0a-502c-11aa104e000-f65a76eb-9e4-e4;Erm Comunitaria;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Otro. Cuál?;;CALDAS-NORCASIA;SIN INFORMACION;;37
ERM_ACT_1232;ac10-0256-1604cb3f54c-1048d75a-1f01-9;CALDAS;PÁCORA;Tipo II;17513;17;SENA;NINGUNO;1/11/2015;2015;11;;;0a0a-502c-11aa106162d-bb66f2de-1474-9;Erm Comunitaria;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Otro. Cuál?;;CALDAS-PÁCORA;SIN INFORMACION;;93
