cod_dane_depto;cod_dane_muni;departamento;municipio;a–o;mes;organizaci—n;Tipo de desminado;Nœmero de metros cuadrados de çrea despejada;Nœmero de MAP destruidos;Nœmero de MUSE destruidas;Nœmero de AEI destruidas;Nœmero Total artefactos destruidos;Nœmero de Estudios No TŽcnicos realizados;Nœmero de Estudio TŽcnicos realizados;Nœmero de Operaciones de Despeje realizadas;Nœmero de ‡reas peligrosas;Nœmero de ‡reas peligrosas confirmadas
73;73168;TOLIMA;CHAPARRAL;2018;Oct;BRDEH;Comunidades;28176;3;0;3;6;0;0;3;0;0
17;17662;CALDAS;SAMANç;2014;Oct;BRDEH;Comunidades;0;0;0;0;0;0;0;0;1;1
19;19212;CAUCA;CORINTO;2018;Abr;HANDICAP INTERNATIONAL;Comunidades;0;0;0;5;5;2;0;0;0;0
70;70771;SUCRE;SUCRE;2019;Jul;BRDEH;Comunidades;0;0;0;0;0;1;0;0;0;0
76;76563;VALLE DEL CAUCA;PRADERA;2019;Feb;THE HALO TRUST;Comunidades;2940;0;0;0;0;0;0;1;0;0
05;05313;ANTIOQUIA;GRANADA;2011;Dic;BRDEH;Comunidades;2100;0;0;0;0;0;1;0;0;0
05;05313;ANTIOQUIA;GRANADA;2015;Mar;BRDEH;Comunidades;7786;1;0;0;1;7;1;1;0;0
50;50711;META;VISTAHERMOSA;2010;Oct;BRDEH;Comunidades;2488;2;2;0;4;0;1;1;0;0
52;52356;NARI„O;IPIALES;2019;Jun;BRDEH;Comunidades;5691;0;0;0;0;0;1;0;0;0
05;05649;ANTIOQUIA;SAN CARLOS;2016;Nov;BRDEH;Comunidades;31217;0;4;0;4;0;0;3;0;0
13;13894;BOLIVAR;ZAMBRANO;2011;Oct;BRDEH;Comunidades;2070;0;0;0;0;5;1;0;0;0
68;68655;SANTANDER;SABANA DE TORRES;2016;Nov;BRDEH;Comunidades;0;0;0;0;0;0;0;0;1;0
05;05321;ANTIOQUIA;GUATAPƒ;2016;May;BRDEH;Comunidades;0;0;0;0;0;9;0;0;0;0
68;68235;SANTANDER;EL CARMEN;2018;Mar;BRDEH;Comunidades;6198;0;0;0;0;2;1;0;0;0
17;17446;CALDAS;MARULANDA;2019;Ago;BRDEH;Comunidades;0;0;0;0;0;3;0;0;0;0
50;50400;META;LEJANêAS;2019;Abr;THE HALO TRUST;Comunidades;0;0;0;0;0;1;0;0;0;0
17;17662;CALDAS;SAMANç;2013;Oct;BRDEH;Comunidades;0;0;0;0;0;0;0;0;6;4
05;05055;ANTIOQUIA;ARGELIA;2018;Abr;THE HALO TRUST;Comunidades;0;0;0;0;0;1;0;0;0;0
73;73168;TOLIMA;CHAPARRAL;2018;Jul;BRDEH;Comunidades;24746;0;0;0;0;0;3;0;0;0
17;17662;CALDAS;SAMANç;2011;Abr;BRDEH;Comunidades;0;0;0;0;0;0;0;0;2;6
76;76520;VALLE DEL CAUCA;PALMIRA;2019;Jun;BRDEH;Comunidades;16308;0;0;0;0;8;0;2;0;0
17;17541;CALDAS;PENSILVANIA;2019;May;BRDEH;Comunidades;7087;4;0;0;4;0;0;1;0;0
05;05660;ANTIOQUIA;SAN LUIS;2017;Feb;BRDEH;Comunidades;0;0;0;0;0;0;0;0;1;0
18;18753;CAQUETA;SAN VICENTE DEL CAGUçN;2019;Mar;BRDEH;Comunidades;5855;0;0;0;0;3;1;0;0;0
91;91798;AMAZONAS;TARAPACç;2009;Mar;BRDEH;Bases Militares;3781;476;0;0;476;0;0;1;0;0
18;18460;CAQUETA;MILçN;2018;Oct;AYUDA POPULAR NORUEGA;Comunidades;0;0;0;0;0;0;0;0;0;1
18;18001;CAQUETA;FLORENCIA;2017;Sep;BRDEH;Comunidades;0;0;0;0;0;1;0;0;0;0
95;95001;GUAVIARE;SAN JOSƒ DEL GUAVIARE;2007;Abr;BRDEH;Bases Militares;0;0;0;0;0;0;0;0;1;0
18;18094;CAQUETA;BELƒN DE LOS ANDAQUêES;2019;Jun;BRDEH;Comunidades;0;0;0;0;0;2;0;0;0;0
17;17662;CALDAS;SAMANç;2017;Jun;BRDEH;Comunidades;0;0;0;0;0;0;0;0;1;2
68;68176;SANTANDER;CHIMA;2019;Mar;BRDEH;Comunidades;0;0;0;0;0;1;0;0;0;0
68;68235;SANTANDER;EL CARMEN;2015;Mar;BRDEH;Comunidades;0;0;0;0;0;0;0;0;3;1
18;18247;CAQUETA;EL DONCELLO;2018;Mar;BRDEH;Comunidades;0;0;0;0;0;6;0;0;0;0
18;18256;CAQUETA;EL PAUJIL;2019;May;BRDEH;Comunidades;0;0;0;0;0;0;0;0;0;1
41;41001;HUILA;NEIVA;2017;Oct;BRDEH;Comunidades;0;0;0;0;0;2;0;0;0;0
68;68344;SANTANDER;HATO;2019;Mar;BRDEH;Comunidades;0;0;0;0;0;1;0;0;0;0
73;73168;TOLIMA;CHAPARRAL;2019;Feb;BRDEH;Comunidades;0;0;0;0;0;0;0;0;0;1
41;41676;HUILA;SANTA MARêA;2018;Ago;BRDEH;Comunidades;0;0;0;0;0;9;0;0;0;0
05;05197;ANTIOQUIA;COCORNç;2014;Jun;BRDEH;Comunidades;0;0;0;0;0;0;0;0;1;0
17;17662;CALDAS;SAMANç;2011;Mar;BRDEH;Comunidades;0;0;0;0;0;0;0;0;0;4
17;17662;CALDAS;SAMANç;2018;Ene;BRDEH;Comunidades;0;0;0;0;0;1;0;0;0;0
50;50400;META;LEJANêAS;2018;Dic;THE HALO TRUST;Comunidades;3440;3;2;0;5;0;0;1;0;0
50;50711;META;VISTAHERMOSA;2018;Ago;CAMPA–A COLOMBIANA CONTRA MINAS;Comunidades;0;0;0;0;0;0;0;0;1;1
52;52356;NARI„O;IPIALES;2018;Sep;THE HALO TRUST;Comunidades;0;0;0;0;0;0;0;0;1;5
41;41001;HUILA;NEIVA;2019;Jul;BRDEH;Comunidades;0;0;0;0;0;5;0;0;0;0
25;25426;CUNDINAMARCA;MACHETç;2018;Ene;BRDEH;Comunidades;0;0;0;0;0;1;0;0;0;0
05;05649;ANTIOQUIA;SAN CARLOS;2018;Jun;BRDEH;Comunidades;2868;0;0;0;0;0;0;2;0;0
17;17541;CALDAS;PENSILVANIA;2019;Jun;BRDEH;Comunidades;8347;0;0;0;0;2;1;0;0;0
76;76563;VALLE DEL CAUCA;PRADERA;2018;Feb;THE HALO TRUST;Comunidades;0;0;0;0;0;1;0;0;0;0
05;05107;ANTIOQUIA;BRICE„O;2015;May;AYUDA POPULAR NORUEGA;Comunidades;0;0;0;0;0;0;0;0;0;5
05;05660;ANTIOQUIA;SAN LUIS;2016;Nov;BRDEH;Comunidades;0;0;0;0;0;0;0;0;5;0
73;73622;TOLIMA;RONCESVALLES;2019;Mar;BRDEH;Comunidades;4944;1;0;0;1;0;0;1;0;0
68;68235;SANTANDER;EL CARMEN;2016;Jul;BRDEH;Comunidades;0;0;0;0;0;0;0;0;2;1
52;52356;NARI„O;IPIALES;2018;Jul;BRDEH;Comunidades;0;0;0;0;0;0;0;0;2;0
86;86568;PUTUMAYO;PUERTO ASêS;2018;Feb;CAMPA–A COLOMBIANA CONTRA MINAS;Comunidades;0;0;0;0;0;0;0;0;0;2
13;13894;BOLIVAR;ZAMBRANO;2019;May;ARMADA NACIONAL;Comunidades;0;0;0;0;0;1;0;0;0;0
17;17495;CALDAS;NORCASIA;2019;May;BRDEH;Comunidades;0;0;0;0;0;0;0;0;0;1
17;17662;CALDAS;SAMANç;2010;Nov;BRDEH;Comunidades;1602,05;2;0;0;2;1;2;1;0;0
13;13894;BOLIVAR;ZAMBRANO;2013;Abr;BRDEH;Comunidades;0;0;0;0;0;3;0;0;0;0
05;05660;ANTIOQUIA;SAN LUIS;2018;Jun;BRDEH;Comunidades;0;0;0;0;0;0;0;0;2;1
05;05756;ANTIOQUIA;SONSîN;2016;Jul;THE HALO TRUST;Comunidades;8224;13;0;0;13;1;0;3;0;0
41;41001;HUILA;NEIVA;2018;Oct;BRDEH;Comunidades;0;0;0;0;0;1;0;0;0;0
05;05313;ANTIOQUIA;GRANADA;2014;Dic;BRDEH;Comunidades;26137;3;0;0;3;0;4;1;0;0
76;76834;VALLE DEL CAUCA;TULUç;2018;Ago;BRDEH;Comunidades;0;0;0;0;0;1;0;0;0;0
13;13654;BOLIVAR;SAN JACINTO;2019;Jun;ARMADA NACIONAL;Comunidades;3525;0;0;0;0;0;0;1;0;0
73;73616;TOLIMA;RIOBLANCO;2017;Jun;BRDEH;Comunidades;0;0;0;0;0;4;0;0;0;0
05;05197;ANTIOQUIA;COCORNç;2014;Oct;BRDEH;Comunidades;3330;2;0;0;2;2;1;1;0;0
68;68235;SANTANDER;EL CARMEN;2014;Jun;BRDEH;Comunidades;0;0;0;0;0;0;0;0;0;1
50;50330;META;MESETAS;2017;Oct;THE HALO TRUST;Comunidades;0;10;0;0;10;5;0;0;0;0
05;05756;ANTIOQUIA;SONSîN;2014;Nov;THE HALO TRUST;Comunidades;0;0;0;0;0;1;0;0;0;0
86;86320;PUTUMAYO;ORITO;2017;Sep;BRDEH;Comunidades;0;0;0;0;0;5;0;0;0;0
05;05197;ANTIOQUIA;COCORNç;2016;Mar;BRDEH;Comunidades;0;0;0;0;0;4;0;0;0;0
05;05647;ANTIOQUIA;SAN ANDRƒS;2017;Ago;BRDEH;Comunidades;0;0;0;0;0;0;0;0;2;0
13;13894;BOLIVAR;ZAMBRANO;2017;Mar;ARMADA NACIONAL;Comunidades;461;0;0;0;0;0;0;1;0;0
44;44090;LA GUAJIRA;DIBULLA;2017;May;BRDEH;Comunidades;0;0;0;0;0;3;0;0;0;0
50;50683;META;SAN JUAN DE ARAMA;2016;Sep;THE HALO TRUST;Comunidades;0;0;0;0;0;0;0;0;0;2
17;17662;CALDAS;SAMANç;2016;Jul;BRDEH;Comunidades;11025;9;0;0;9;14;2;2;0;0
41;41001;HUILA;NEIVA;2018;Sep;BRDEH;Comunidades;0;0;0;0;0;1;0;0;0;0
05;05002;ANTIOQUIA;ABEJORRAL;2019;Ago;THE HALO TRUST;Comunidades;6464;0;0;0;0;0;0;2;0;0
19;19100;CAUCA;BOLêVAR;2019;Jun;BRDEH;Comunidades;0;0;0;0;0;1;0;0;0;0
05;05055;ANTIOQUIA;ARGELIA;2018;Feb;THE HALO TRUST;Comunidades;12619;0;0;0;0;1;0;2;0;0
17;17541;CALDAS;PENSILVANIA;2018;Ago;BRDEH;Comunidades;0;0;0;0;0;5;0;0;0;0
68;68235;SANTANDER;EL CARMEN;2017;Ago;BRDEH;Comunidades;2984;0;0;0;0;4;1;0;0;0
41;41078;HUILA;BARAYA;2017;Jun;BRDEH;Comunidades;0;0;0;0;0;0;0;0;1;0
50;50251;META;EL CASTILLO;2018;Ago;AYUDA POPULAR NORUEGA;Comunidades;0;0;0;0;0;8;0;0;0;0
86;86571;PUTUMAYO;PUERTO GUZMçN;2019;Jun;CAMPA–A COLOMBIANA CONTRA MINAS;Comunidades;0;0;0;0;0;2;0;0;0;0
50;50683;META;SAN JUAN DE ARAMA;2018;Oct;AYUDA POPULAR NORUEGA;Comunidades;0;0;0;0;0;0;0;0;1;0
17;17662;CALDAS;SAMANç;2013;May;BRDEH;Comunidades;0;0;0;0;0;0;0;0;1;1
05;05667;ANTIOQUIA;SAN RAFAEL;2015;Jul;THE HALO TRUST;Comunidades;0;0;0;0;0;0;0;0;0;4
05;05652;ANTIOQUIA;SAN FRANCISCO;2012;Abr;BRDEH;Comunidades;13286;5;0;0;5;1;3;3;0;0
18;18592;CAQUETA;PUERTO RICO;2018;May;BRDEH;Comunidades;6791;4;0;0;4;3;1;1;0;0
18;18410;CAQUETA;MONTA„ITA;2017;Jul;BRDEH;Comunidades;0;0;0;0;0;0;0;0;4;0
05;05467;ANTIOQUIA;MONTEBELLO;2019;Abr;BRDEH;Comunidades;0;0;0;0;0;3;0;0;0;0
73;73616;TOLIMA;RIOBLANCO;2017;Abr;THE HALO TRUST;Comunidades;0;0;0;0;0;1;0;0;0;0
73;73168;TOLIMA;CHAPARRAL;2010;Jul;BRDEH;Comunidades;14962;0;1;0;1;0;1;0;0;0
73;73168;TOLIMA;CHAPARRAL;2009;Oct;BRDEH;Comunidades;0;0;0;0;0;0;0;0;2;0
50;50711;META;VISTAHERMOSA;2019;Jul;BRDEH;Comunidades;0;0;1;0;1;1;0;0;0;0
68;68235;SANTANDER;EL CARMEN;2014;Nov;BRDEH;Comunidades;0;0;0;0;0;2;0;0;0;0
73;73616;TOLIMA;RIOBLANCO;2018;Abr;THE HALO TRUST;Comunidades;0;0;0;0;0;7;0;0;0;0
76;76834;VALLE DEL CAUCA;TULUç;2019;May;BRDEH;Comunidades;10848;0;0;0;0;0;2;0;0;0
05;05107;ANTIOQUIA;BRICE„O;2017;Abr;BRDEH;Comunidades;0;0;0;0;0;0;0;0;1;0
73;73555;TOLIMA;PLANADAS;2018;May;BRDEH;Comunidades;14637;1;8;3;12;0;0;1;0;0
05;05667;ANTIOQUIA;SAN RAFAEL;2018;Dic;THE HALO TRUST;Comunidades;887;0;0;0;0;1;0;1;0;0
05;05660;ANTIOQUIA;SAN LUIS;2017;Abr;BRDEH;Comunidades;0;0;0;0;0;1;0;0;0;0
13;13894;BOLIVAR;ZAMBRANO;2010;Feb;BRDEH;Comunidades;0;0;0;0;0;0;0;0;0;1
19;19075;CAUCA;BALBOA;2019;May;CAMPA–A COLOMBIANA CONTRA MINAS;Comunidades;0;0;0;0;0;0;0;0;1;0
52;52356;NARI„O;IPIALES;2019;Abr;BRDEH;Comunidades;0;0;0;0;0;0;0;0;1;0
05;05756;ANTIOQUIA;SONSîN;2015;Nov;THE HALO TRUST;Comunidades;736;0;0;0;0;0;0;1;0;0
50;50270;META;EL DORADO;2011;Nov;BRDEH;Comunidades;4608;3;0;0;3;1;2;2;0;0
05;05483;ANTIOQUIA;NARI„O;2014;May;THE HALO TRUST;Comunidades;1502;3;0;0;3;1;0;2;0;0
50;50711;META;VISTAHERMOSA;2017;Jun;AYUDA POPULAR NORUEGA;Comunidades;0;0;0;0;0;0;0;0;0;2
50;50711;META;VISTAHERMOSA;2017;Feb;BRDEH;Comunidades;0;0;0;0;0;1;0;0;0;0
18;18094;CAQUETA;BELƒN DE LOS ANDAQUêES;2018;May;BRDEH;Comunidades;0;0;0;0;0;2;0;0;0;0
18;18410;CAQUETA;MONTA„ITA;2018;Abr;BRDEH;Comunidades;0;0;0;0;0;1;0;0;0;0
73;73168;TOLIMA;CHAPARRAL;2019;May;BRDEH;Comunidades;6457;0;0;0;0;0;1;1;0;0
05;05652;ANTIOQUIA;SAN FRANCISCO;2008;May;BRDEH;Comunidades;8707;11;2;0;13;0;0;1;0;0
54;54820;NORTE DE SANTANDER;TOLEDO;2008;Nov;BRDEH;Bases Militares;11013,7;33;5;0;38;0;0;1;0;0
05;05197;ANTIOQUIA;COCORNç;2016;Jul;BRDEH;Comunidades;0;0;0;0;0;0;0;0;0;1
68;68773;SANTANDER;SUCRE;2019;Abr;BRDEH;Comunidades;0;0;0;0;0;4;0;0;0;0
05;05652;ANTIOQUIA;SAN FRANCISCO;2011;Oct;BRDEH;Comunidades;0;0;0;0;0;1;0;0;0;0
86;86001;PUTUMAYO;MOCOA;2018;May;BRDEH;Comunidades;0;0;0;0;0;7;0;0;0;0
68;68235;SANTANDER;EL CARMEN;2016;Jun;BRDEH;Comunidades;0;1;0;0;1;1;0;0;0;0
05;05649;ANTIOQUIA;SAN CARLOS;2011;Oct;BRDEH;Comunidades;5666;7;1;0;8;19;1;2;0;0
73;73411;TOLIMA;LêBANO;2018;Feb;BRDEH;Comunidades;0;0;0;0;0;8;0;0;0;0
86;86001;PUTUMAYO;MOCOA;2018;Feb;BRDEH;Comunidades;0;0;0;0;0;3;0;0;0;0
50;50711;META;VISTAHERMOSA;2017;Oct;BRDEH;Comunidades;12655;2;0;1;3;0;0;1;0;0
41;41799;HUILA;TELLO;2018;Jul;BRDEH;Comunidades;0;0;0;0;0;2;0;0;0;0
50;50683;META;SAN JUAN DE ARAMA;2016;Ago;THE HALO TRUST;Comunidades;0;0;0;0;0;0;0;0;0;1
13;13244;BOLIVAR;EL CARMEN DE BOLêVAR;2017;Nov;ARMADA NACIONAL;Comunidades;0;0;0;0;0;0;0;0;0;2
41;41799;HUILA;TELLO;2019;Abr;BRDEH;Comunidades;4729;0;0;0;0;4;1;0;0;0
05;05667;ANTIOQUIA;SAN RAFAEL;2018;Sep;THE HALO TRUST;Comunidades;668;5;0;0;5;0;0;1;0;0
41;41396;HUILA;LA PLATA;2018;Nov;BRDEH;Comunidades;0;0;0;0;0;3;0;0;0;0
05;05652;ANTIOQUIA;SAN FRANCISCO;2011;Mar;BRDEH;Comunidades;0;0;0;0;0;0;0;0;1;0
05;05313;ANTIOQUIA;GRANADA;2011;Ago;BRDEH;Comunidades;3648;4;0;0;4;1;3;1;0;0
05;05321;ANTIOQUIA;GUATAPƒ;2016;Mar;BRDEH;Comunidades;0;0;0;0;0;2;0;0;0;0
05;05361;ANTIOQUIA;ITUANGO;2019;Feb;BRDEH;Comunidades;7802;0;0;0;0;0;1;1;0;0
68;68780;SANTANDER;SURATç;2018;Jun;BRDEH;Comunidades;0;0;0;0;0;1;0;0;0;0
50;50270;META;EL DORADO;2010;Abr;BRDEH;Comunidades;1545;8;0;0;8;1;1;1;0;0
86;86320;PUTUMAYO;ORITO;2019;Jul;BRDEH;Comunidades;0;0;0;0;0;7;0;0;0;0
17;17662;CALDAS;SAMANç;2017;Ago;BRDEH;Comunidades;11484;0;0;0;0;14;1;0;0;0
50;50711;META;VISTAHERMOSA;2017;Feb;AYUDA POPULAR NORUEGA;Comunidades;0;0;0;0;0;0;0;0;0;1
73;73675;TOLIMA;SAN ANTONIO;2018;Mar;BRDEH;Comunidades;0;0;0;0;0;27;0;0;0;0
50;50400;META;LEJANêAS;2019;Feb;THE HALO TRUST;Comunidades;0;0;0;0;0;0;0;0;1;0
73;73067;TOLIMA;ATACO;2016;Sep;THE HALO TRUST;Comunidades;1581;0;0;0;0;10;1;0;0;0
47;47053;MAGDALENA;ARACATACA;2017;May;BRDEH;Comunidades;0;0;0;0;0;1;0;0;0;0
86;86885;PUTUMAYO;VILLAGARZîN;2018;Mar;BRDEH;Comunidades;0;0;0;0;0;0;0;0;1;0
50;50711;META;VISTAHERMOSA;2017;Jul;HANDICAP INTERNATIONAL;Comunidades;0;0;0;0;0;0;0;0;0;1
11;11001;BOGOTA DC;Bogot‡ DC;2018;Nov;ATEXX;Comunidades;0;0;0;0;0;1;0;0;0;0
19;19142;CAUCA;CALOTO;2018;May;HANDICAP INTERNATIONAL;Comunidades;0;0;0;0;0;1;0;0;0;0
05;05628;ANTIOQUIA;SABANALARGA;2017;Jul;BRDEH;Comunidades;0;0;0;0;0;3;0;0;0;0
05;05667;ANTIOQUIA;SAN RAFAEL;2017;Nov;THE HALO TRUST;Comunidades;5500;0;0;0;0;3;1;0;0;0
50;50711;META;VISTAHERMOSA;2017;Jun;HANDICAP INTERNATIONAL;Comunidades;0;0;0;4;4;2;0;0;0;0
52;52356;NARI„O;IPIALES;2018;Jun;BRDEH;Comunidades;0;0;0;0;0;4;0;0;0;0
17;17662;CALDAS;SAMANç;2012;Ago;BRDEH;Comunidades;1404;6;1;0;7;12;2;2;0;0
17;17662;CALDAS;SAMANç;2017;Mar;BRDEH;Comunidades;0;0;0;0;0;0;0;0;0;2
05;05667;ANTIOQUIA;SAN RAFAEL;2015;Jun;THE HALO TRUST;Comunidades;0;0;0;0;0;0;0;0;2;1
66;66088;RISARALDA;BELƒN DE UMBRêA;2019;Abr;BRDEH;Comunidades;0;0;0;0;0;12;0;0;0;0
76;76520;VALLE DEL CAUCA;PALMIRA;2018;Jul;BRDEH;Comunidades;0;0;0;0;0;0;0;0;2;0
05;05055;ANTIOQUIA;ARGELIA;2017;Dic;THE HALO TRUST;Comunidades;0;0;0;0;0;0;0;0;0;4
05;05756;ANTIOQUIA;SONSîN;2014;Mar;THE HALO TRUST;Comunidades;0;0;0;0;0;3;0;0;0;0
13;13244;BOLIVAR;EL CARMEN DE BOLêVAR;2013;Jun;BRDEH;Comunidades;10439;0;0;0;0;2;1;0;0;0
17;17380;CALDAS;LA DORADA;2019;Mar;BRDEH;Comunidades;0;0;0;0;0;11;0;0;0;0
50;50270;META;EL DORADO;2011;Ago;BRDEH;Comunidades;8500;0;0;0;0;0;1;0;0;0
05;05652;ANTIOQUIA;SAN FRANCISCO;2013;Feb;BRDEH;Comunidades;127;0;0;0;0;0;1;0;0;0
68;68655;SANTANDER;SABANA DE TORRES;2016;Ago;BRDEH;Comunidades;0;0;0;0;0;0;0;0;2;0
73;73168;TOLIMA;CHAPARRAL;2018;Jun;BRDEH;Comunidades;16808;0;0;1;1;0;2;1;0;0
86;86568;PUTUMAYO;PUERTO ASêS;2019;Feb;CAMPA–A COLOMBIANA CONTRA MINAS;Comunidades;1357;3;1;0;4;1;0;2;0;0
05;05756;ANTIOQUIA;SONSîN;2016;Feb;THE HALO TRUST;Comunidades;0;0;0;0;0;0;0;0;1;0
68;68689;SANTANDER;SAN VICENTE DE CHUCURê;2013;Ago;BRDEH;Comunidades;0;0;0;0;0;0;0;0;1;0
05;05197;ANTIOQUIA;COCORNç;2014;Sep;BRDEH;Comunidades;2914;0;0;0;0;0;1;0;0;0
68;68689;SANTANDER;SAN VICENTE DE CHUCURê;2014;Jul;BRDEH;Comunidades;0;0;0;0;0;0;0;0;3;1
18;18753;CAQUETA;SAN VICENTE DEL CAGUçN;2018;Abr;BRDEH;Comunidades;12575;3;0;0;3;0;0;1;0;0
25;25426;CUNDINAMARCA;MACHETç;2018;Feb;BRDEH;Comunidades;0;0;0;0;0;3;0;0;0;0
05;05756;ANTIOQUIA;SONSîN;2015;Abr;THE HALO TRUST;Comunidades;0;0;0;0;0;0;0;0;0;1
05;05649;ANTIOQUIA;SAN CARLOS;2011;Ago;BRDEH;Comunidades;13718;0;0;0;0;44;3;0;0;0
05;05658;ANTIOQUIA;SAN JOSƒ DE LA MONTA„A;2019;Jun;BRDEH;Comunidades;0;0;0;0;0;2;0;0;0;0
73;73555;TOLIMA;PLANADAS;2018;Nov;THE HALO TRUST;Comunidades;4108;0;0;0;0;1;0;1;0;0
18;18753;CAQUETA;SAN VICENTE DEL CAGUçN;2017;Jul;BRDEH;Comunidades;0;0;0;0;0;0;0;0;1;0
68;68689;SANTANDER;SAN VICENTE DE CHUCURê;2015;Mar;BRDEH;Comunidades;0;0;0;0;0;0;0;0;0;1
68;68235;SANTANDER;EL CARMEN;2017;Feb;BRDEH;Comunidades;3953;0;0;0;0;0;1;0;0;0
68;68425;SANTANDER;MACARAVITA;2018;May;BRDEH;Comunidades;0;0;0;0;0;2;0;0;0;0
73;73168;TOLIMA;CHAPARRAL;2018;Ago;THE HALO TRUST;Comunidades;0;0;0;0;0;0;0;0;2;0
13;13683;BOLIVAR;SANTA ROSA;2017;Feb;ARMADA NACIONAL;Comunidades;0;0;0;0;0;18;0;0;0;0
05;05649;ANTIOQUIA;SAN CARLOS;2011;Jun;BRDEH;Comunidades;4953;1;0;0;1;85;2;1;0;0
52;52356;NARI„O;IPIALES;2019;Abr;BRDEH;Comunidades;10852;0;0;0;0;1;1;0;0;0
