Departamento;Municipio;Tipologia;Estado  de intervención
AMAZONAS;EL ENCANTO;Tipo IV;Sin minas
AMAZONAS;LA CHORRERA;Tipo III;Sin minas
AMAZONAS;LA PEDRERA;Tipo IV;Sin minas
AMAZONAS;LA VICTORIA;Tipo IV;Sin minas
AMAZONAS;LETICIA;Tipo IV;Sin minas
AMAZONAS;MIRITÍ - PARANÁ;Tipo IV;Sin minas
AMAZONAS;PUERTO ALEGRÍA;Tipo IV;Sin minas
AMAZONAS;PUERTO ARICA;Tipo IV;Sin minas
AMAZONAS;PUERTO NARIÑO;Tipo IV;Sin minas
AMAZONAS;PUERTO SANTANDER;Tipo I;Sin minas
AMAZONAS;TARAPACÁ;Tipo IV;Sin minas
ANTIOQUIA;ABEJORRAL;Plan de intervención DH;En intervención
ANTIOQUIA;ABRIAQUÍ;Tipo II;Sin minas
ANTIOQUIA;ALEJANDRÍA;Tipo II;En intervención
ANTIOQUIA;AMAGÁ;Tipo IV;Sin minas
ANTIOQUIA;AMALFI;Tipo I;Por intervenir
ANTIOQUIA;ANDES;Tipo IV;Sin minas
ANTIOQUIA;ANGELÓPOLIS;Tipo III;Sin minas
ANTIOQUIA;ANGOSTURA;Tipo I;Por intervenir
ANTIOQUIA;ANORÍ;Tipo I;Por intervenir
ANTIOQUIA;ANZÁ;Tipo II;Sin minas
ANTIOQUIA;APARTADÓ;Tipo I;Por intervenir
ANTIOQUIA;ARBOLETES;Tipo IV;Sin minas
ANTIOQUIA;ARGELIA;Tipo I;En intervención
ANTIOQUIA;ARMENIA;Tipo IV;Sin minas
ANTIOQUIA;BARBOSA;Tipo III;Sin minas
ANTIOQUIA;BELLO;Tipo II;Sin minas
ANTIOQUIA;BELMIRA;Tipo IV;Sin minas
ANTIOQUIA;BETANIA;Tipo III;Sin minas
ANTIOQUIA;BETULIA;Tipo III;Sin minas
ANTIOQUIA;BRICEÑO;Tipo I;En intervención
ANTIOQUIA;BURITICÁ;Tipo II;Por intervenir
ANTIOQUIA;CÁCERES;Tipo I;Por intervenir
ANTIOQUIA;CAICEDO;Tipo II;Sin minas
ANTIOQUIA;CALDAS;Tipo III;Sin minas
ANTIOQUIA;CAMPAMENTO;Tipo I;Por intervenir
ANTIOQUIA;CAÑASGORDAS;Tipo II;Por intervenir
ANTIOQUIA;CARACOLÍ;Tipo II;Sin minas
ANTIOQUIA;CARAMANTA;Tipo II;Sin minas
ANTIOQUIA;CAREPA;Tipo II;Por intervenir
ANTIOQUIA;CARMEN DE VIBORAL;Plan de intervención DH;En intervención
ANTIOQUIA;CAROLINA;Tipo III;Sin minas
ANTIOQUIA;CAUCASIA;Tipo II;Por intervenir
ANTIOQUIA;CHIGORODÓ;Tipo I;Por intervenir
ANTIOQUIA;CISNEROS;Tipo II;Sin minas
ANTIOQUIA;CIUDAD BOLÍVAR;Tipo IV;Sin minas
ANTIOQUIA;COCORNÁ;Plan de intervención DH;Sin minas
ANTIOQUIA;CONCEPCIÓN;Tipo II;En intervención
ANTIOQUIA;CONCORDIA;Tipo IV;Sin minas
ANTIOQUIA;COPACABANA;Tipo IV;Sin minas
ANTIOQUIA;DABEIBA;Tipo I;Por intervenir
ANTIOQUIA;DONMATÍAS;Tipo III;Sin minas
ANTIOQUIA;EBÉJICO;Tipo IV;Sin minas
ANTIOQUIA;EL BAGRE;Tipo I;Por intervenir
ANTIOQUIA;EL SANTUARIO;Tipo II;En intervención
ANTIOQUIA;ENTRERRÍOS;Tipo IV;Sin minas
ANTIOQUIA;ENVIGADO;Tipo IV;Sin minas
ANTIOQUIA;FREDONIA;Tipo IV;Sin minas
ANTIOQUIA;FRONTINO;Tipo II;Por intervenir
ANTIOQUIA;GIRALDO;Tipo III;Sin minas
ANTIOQUIA;GIRARDOTA;Tipo IV;Sin minas
ANTIOQUIA;GÓMEZ PLATA;Tipo II;Sin minas
ANTIOQUIA;GRANADA;Plan de intervención DH;Sin minas
ANTIOQUIA;GUADALUPE;Tipo I;En intervención
ANTIOQUIA;GUARNE;Tipo II;Sin minas
ANTIOQUIA;GUATAPÉ;Tipo II;Sin minas
ANTIOQUIA;HELICONIA;Tipo IV;Sin minas
ANTIOQUIA;HISPANIA;Tipo IV;Sin minas
ANTIOQUIA;ITAGÜÍ;Tipo II;Sin minas
ANTIOQUIA;ITUANGO;Tipo I;En intervención
ANTIOQUIA;JARDÍN;Tipo II;Sin minas
ANTIOQUIA;JERICÓ;Tipo IV;Sin minas
ANTIOQUIA;LA CEJA;Tipo IV;Sin minas
ANTIOQUIA;LA ESTRELLA;Tipo IV;Sin minas
ANTIOQUIA;LA PINTADA;Tipo IV;Sin minas
ANTIOQUIA;LA UNIÓN;Plan de intervención DH;Sin minas
ANTIOQUIA;LIBORINA;Tipo II;En intervención
ANTIOQUIA;MACEO;Tipo I;En intervención
ANTIOQUIA;MARINILLA;Tipo III;Sin minas
ANTIOQUIA;MEDELLÍN;Tipo I;Sin minas
ANTIOQUIA;MONTEBELLO;Tipo II;En intervención
ANTIOQUIA;MURINDÓ;Tipo II;Por intervenir
ANTIOQUIA;MUTATÁ;Tipo I;Por intervenir
ANTIOQUIA;NARIÑO;Plan de intervención DH;Sin minas
ANTIOQUIA;NECHÍ;Tipo II;Por intervenir
ANTIOQUIA;NECOCLÍ;Tipo I;Por intervenir
ANTIOQUIA;OLAYA;Tipo IV;Sin minas
ANTIOQUIA;PEÑOL;Tipo II;Sin minas
ANTIOQUIA;PEQUE;Tipo I;Por intervenir
ANTIOQUIA;PUEBLORRICO;Tipo IV;Sin minas
ANTIOQUIA;PUERTO BERRÍO;Tipo II;En intervención
ANTIOQUIA;PUERTO NARE;Tipo III;Sin minas
ANTIOQUIA;PUERTO TRIUNFO;Tipo I;Sin minas
ANTIOQUIA;REMEDIOS;Tipo II;Por intervenir
ANTIOQUIA;RETIRO;Tipo IV;Sin minas
ANTIOQUIA;RIONEGRO;Tipo II;Sin minas
ANTIOQUIA;SABANALARGA;Tipo I;Sin minas
ANTIOQUIA;SABANETA;Tipo IV;Sin minas
ANTIOQUIA;SALGAR;Tipo IV;Sin minas
ANTIOQUIA;SAN ANDRÉS DE CUERQUÍA;Tipo I;En intervención
ANTIOQUIA;SAN CARLOS;Plan de intervención DH;Sin minas
ANTIOQUIA;SAN FRANCISCO;Plan de intervención DH;Sin minas
ANTIOQUIA;SAN JERÓNIMO;Tipo II;En intervención
ANTIOQUIA;SAN JOSÉ DE LA MONTAÑA;Tipo II;En intervención
ANTIOQUIA;SAN JUAN DE URABÁ;Tipo IV;Por intervenir
ANTIOQUIA;SAN LUIS;Tipo I;En intervención
ANTIOQUIA;SAN PEDRO DE LOS MILAGROS;Tipo IV;Sin minas
ANTIOQUIA;SAN PEDRO DE URABÁ;Tipo IV;Sin minas
ANTIOQUIA;SAN RAFAEL;Plan de intervención DH;En intervención
ANTIOQUIA;SAN ROQUE;Tipo II;En intervención
ANTIOQUIA;SAN VICENTE FERRER;Tipo II;Sin minas
ANTIOQUIA;SANTA BÁRBARA;Tipo III;Sin minas
ANTIOQUIA;SANTA FÉ DE ANTIOQUIA;Tipo I;En intervención
ANTIOQUIA;SANTA ROSA DE OSOS;Tipo II;En intervención
ANTIOQUIA;SANTO DOMINGO;Tipo II;En intervención
ANTIOQUIA;SEGOVIA;Tipo I;Por intervenir
ANTIOQUIA;SONSÓN;Plan de intervención DH;En intervención
ANTIOQUIA;SOPETRÁN;Tipo III;Sin minas
ANTIOQUIA;TÁMESIS;Tipo II;Sin minas
ANTIOQUIA;TARAZÁ;Tipo I;Por intervenir
ANTIOQUIA;TARSO;Tipo III;Sin minas
ANTIOQUIA;TITIRIBÍ;Tipo IV;Sin minas
ANTIOQUIA;TOLEDO;Tipo I;En intervención
ANTIOQUIA;TURBO;Tipo I;Por intervenir
ANTIOQUIA;URAMITA;Tipo III;Sin minas
ANTIOQUIA;URRAO;Tipo I;En intervención
ANTIOQUIA;VALDIVIA;Tipo I;Por intervenir
ANTIOQUIA;VALPARAÍSO;Tipo IV;Sin minas
ANTIOQUIA;VEGACHÍ;Tipo I;Por intervenir
ANTIOQUIA;VENECIA;Tipo III;Sin minas
ANTIOQUIA;VIGÍA DEL FUERTE;Tipo I;Por intervenir
ANTIOQUIA;YALÍ;Tipo II;Por intervenir
ANTIOQUIA;YARUMAL;Tipo I;Por intervenir
ANTIOQUIA;YOLOMBÓ;Tipo II;En intervención
ANTIOQUIA;YONDÓ;Tipo II;Por intervenir
ANTIOQUIA;ZARAGOZA;Tipo I;Por intervenir
ARAUCA;ARAUCA;Tipo I;Por intervenir
ARAUCA;ARAUQUITA;Tipo I;Por intervenir
ARAUCA;CRAVO NORTE;Tipo II;Por intervenir
ARAUCA;FORTUL;Tipo I;Por intervenir
ARAUCA;PUERTO RONDÓN;Tipo I;Por intervenir
ARAUCA;SARAVENA;Tipo I;Por intervenir
ARAUCA;TAME;Tipo I;Por intervenir
ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA;PROVIDENCIA;Tipo IV;Sin minas
ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA;SAN ANDRÉS;Tipo IV;Sin minas
ATLÁNTICO;BARANOA;Tipo IV;Sin minas
ATLÁNTICO;BARRANQUILLA;Tipo II;Sin minas
ATLÁNTICO;CAMPO DE LA CRUZ;Tipo IV;Sin minas
ATLÁNTICO;CANDELARIA;Tipo IV;Sin minas
ATLÁNTICO;GALAPA;Tipo III;Sin minas
ATLÁNTICO;JUAN DE ACOSTA;Tipo IV;Sin minas
ATLÁNTICO;LURUACO;Tipo IV;Sin minas
ATLÁNTICO;MALAMBO;Tipo IV;Sin minas
ATLÁNTICO;MANATÍ;Tipo IV;Sin minas
ATLÁNTICO;PALMAR DE VARELA;Tipo IV;Sin minas
ATLÁNTICO;PIOJÓ;Tipo IV;Sin minas
ATLÁNTICO;POLONUEVO;Tipo IV;Sin minas
ATLÁNTICO;PONEDERA;Tipo IV;Sin minas
ATLÁNTICO;PUERTO COLOMBIA;Tipo III;Sin minas
ATLÁNTICO;REPELÓN;Tipo IV;Sin minas
ATLÁNTICO;SABANAGRANDE;Tipo IV;Sin minas
ATLÁNTICO;SABANALARGA;Tipo II;Sin minas
ATLÁNTICO;SANTA LUCÍA;Tipo III;Sin minas
ATLÁNTICO;SANTO TOMÁS;Tipo IV;Sin minas
ATLÁNTICO;SOLEDAD;Tipo III;Sin minas
ATLÁNTICO;SUAN;Tipo IV;Sin minas
ATLÁNTICO;TUBARÁ;Tipo IV;Sin minas
