Departamento;Municipio;Cod DANE;2001;2002;2003;2004;2005;2006
AMAZONAS;El Encanto;91263;206;264;164;270;382;233
AMAZONAS;La Chorrera;91405;65;236;209;271;257;223
AMAZONAS;Mirití Paraná;91460;6;43;36;30;12;4
AMAZONAS;Puerto Alegría;91530;222;195;173;174;210;202
AMAZONAS;Puerto Arica;91536;0;1;6;0;0;0
AMAZONAS;Puerto Santander;91669;33;44;37;38;36;30
ANTIOQUIA;Amalfi;5031;31;110;74;173;210;342
ANTIOQUIA;Anorí;5040;188;369;614;753;759;836
ANTIOQUIA;Argelia;5055;0;0;4;21;21;15
ANTIOQUIA;Briceño;5107;20;17;20;54;115;44
ANTIOQUIA;Cáceres;5120;213;116;537;539;650;579
ANTIOQUIA;Campamento;5134;0;8;0;62;28;9
ANTIOQUIA;Caracolí;5142;0;0;0;0;0;1
ANTIOQUIA;Carepa;5147;0;0;0;2;0;0
ANTIOQUIA;Caucasia;5154;81;26;27;21;2;12
ANTIOQUIA;Dabeiba;5234;34;0;0;0;0;0
ANTIOQUIA;El Bagre;5250;420;327;524;546;721;463
ANTIOQUIA;Frontino;5284;1;0;0;0;0;0
ANTIOQUIA;Gómez Plata;5310;21;2;0;0;0;0
ANTIOQUIA;Ituango;5361;126;130;200;135;161;76
ANTIOQUIA;Maceo;5425;7;0;0;0;0;0
ANTIOQUIA;Mutatá;5480;1;0;0;0;0;0
ANTIOQUIA;Nariño;5483;0;0;2;8;1;94
ANTIOQUIA;Nechí;5495;14;57;125;195;365;335
ANTIOQUIA;Necoclí;5490;0;0;78;1;0;0
ANTIOQUIA;Puerto Nare;5585;0;0;0;7;2;35
ANTIOQUIA;Puerto Triunfo;5591;0;0;0;0;0;1
ANTIOQUIA;Remedios;5604;424;534;331;193;202;265
ANTIOQUIA;Sabanalarga;5628;0;1;0;0;0;0
ANTIOQUIA;San Carlos;5649;1;0;0;0;0;38
ANTIOQUIA;San Francisco;5652;20;0;17;0;27;137
ANTIOQUIA;San Luis;5660;11;0;18;0;83;197
ANTIOQUIA;San Pedro de Urabá;5665;0;0;8;0;0;0
ANTIOQUIA;San Rafael;5667;8;0;0;0;0;2
ANTIOQUIA;San Roque;5670;78;2;0;0;0;0
ANTIOQUIA;Santa Rosa de Osos;5686;3;0;0;0;0;0
ANTIOQUIA;Segovia;5736;222;355;58;152;403;604
ANTIOQUIA;Sonsón;5756;1;0;55;25;41;84
ANTIOQUIA;Tarazá;5790;638;337;537;1163;1402;1105
ANTIOQUIA;Turbo;5837;0;0;151;21;0;0
ANTIOQUIA;Uramita;5842;3;0;0;0;0;0
ANTIOQUIA;Urrao;5847;0;0;0;14;0;1
ANTIOQUIA;Valdivia;5854;116;50;157;431;467;426
ANTIOQUIA;Vegachí;5858;56;74;75;49;38;25
ANTIOQUIA;Vigía del Fuerte;5873;0;0;0;3;0;0
ANTIOQUIA;Yalí;5885;76;47;46;27;22;0
ANTIOQUIA;Yarumal;5887;2;2;0;68;6;17
ANTIOQUIA;Yolombó;5890;61;7;17;0;0;0
ANTIOQUIA;Yondó;5893;31;59;85;86;88;13
ANTIOQUIA;Zaragoza;5895;263;399;505;416;600;400
ARAUCA;Arauquita;81065;1685;1647;294;939;1165;775
ARAUCA;Fortul;81300;338;165;71;252;249;158
ARAUCA;Puerto Rondón;81591;53;34;0;10;36;50
ARAUCA;Saravena;81736;167;55;77;98;184;126
ARAUCA;Tame;81794;506;314;96;253;249;197
BOLIVAR;Achí;13006;1;0;0;0;3;0
BOLIVAR;Altos del Rosario;13030;0;0;37;43;58;18
BOLIVAR;Arenal;13042;41;71;194;109;150;67
BOLIVAR;Barranco de Loba;13074;0;0;51;53;82;29
BOLIVAR;Cantagallo;13160;837;446;511;229;333;127
BOLIVAR;El Peñón;13268;0;0;0;2;0;0
BOLIVAR;Montecristo;13458;79;45;231;287;255;237
BOLIVAR;Morales;13473;141;64;145;78;115;152
BOLIVAR;Rio Viejo;13600;149;166;288;242;323;178
BOLIVAR;San Jacinto del Cauca;13655;0;5;23;40;47;82
BOLIVAR;San Martín de Loba;13667;0;0;67;180;176;67
BOLIVAR;San Pablo;13670;938;614;1105;756;638;334
BOLIVAR;Santa Rosa del Sur;13688;1502;996;1336;925;1152;810
BOLIVAR;Simití;13744;1088;321;410;388;188;174
BOLIVAR;Tiquisio;13810;48;7;72;69;150;107
BOYACA;Coper;15212;0;3;3;0;0;1
BOYACA;Cubará;15223;139;6;8;0;0;0
BOYACA;Maripí;15442;0;14;25;10;0;4
BOYACA;Muzo;15480;0;1;39;11;2;13
BOYACA;Otanche;15507;20;23;141;84;101;142
BOYACA;Pauna;15531;1;10;22;10;14;54
BOYACA;Puerto Boyacá;15572;85;43;309;215;206;197
BOYACA;Quipama;15580;0;3;27;15;10;6
BOYACA;San Pablo Borbur;15681;0;15;19;13;9;20
BOYACA;Santa Sofía;15696;0;0;1;0;0;0
BOYACA;Tununga;15832;0;0;0;1;0;4
CALDAS;Manzanares;17433;0;0;1;0;0;0
CALDAS;Norcasia;17495;0;0;43;313;46;51
CALDAS;Pensilvania;17541;0;0;0;1;7;14
CALDAS;Samaná;17662;0;0;10;41;132;380
CALDAS;Victoria;17867;0;0;0;3;4;16
CAQUETA;Albania;18029;180;125;122;698;149;106
CAQUETA;Belén de los Andaquies;18094;40;64;135;112;157;132
CAQUETA;Cartagena del Chairá;18150;6405;3989;1990;1203;1836;1674
CAQUETA;Curillo;18205;753;581;202;252;253;265
CAQUETA;El Doncello;18247;41;3;22;13;52;52
CAQUETA;El Paujil;18256;149;3;12;30;29;32
CAQUETA;Florencia;18001;0;24;69;92;6;4
CAQUETA;La Montañita;18410;605;201;535;188;316;292
CAQUETA;Milán;18460;559;172;321;348;255;414
CAQUETA;Morelia;18479;2;4;1;554;2;18
CAQUETA;Puerto Rico;18592;118;246;384;279;91;143
CAQUETA;San José de la Fragua;18610;655;655;425;209;311;245
CAQUETA;San Vicente del Caguán;18753;1197;606;407;603;231;332
CAQUETA;Solano;18756;2171;1067;1146;516;1015;808
CAQUETA;Solita;18785;807;380;769;309;103;214
CAQUETA;Valparaíso;18860;834;292;690;1094;182;236
CAUCA;Argelia;19050;227;218;93;65;153;161
CAUCA;Balboa;19075;19;0;94;23;24;91
CAUCA;Bolívar;19100;0;0;1;0;3;21
CAUCA;Cajibío;19130;29;0;0;0;4;0
CAUCA;El Tambo;19256;1436;698;187;203;629;307
CAUCA;Florencia;19290;0;0;0;0;0;8
CAUCA;Guapi;19318;54;102;146;374;489;121
CAUCA;La Vega;19397;0;0;0;0;0;8
CAUCA;López;19418;57;97;15;59;63;79
CAUCA;Mercaderes;19450;0;0;3;0;0;31
CAUCA;Morales;19473;112;0;0;0;9;10
